LST_DATE,min,max,month
20210101.0,-8.1,0.0,1
20210102.0,-16.4,-8.4,1
20210103.0,-19.0,-16.0,1
20210104.0,-18.2,-6.7,1
20210105.0,-8.4,-5.4,1
20210106.0,-9.0,-7.4,1
20210107.0,-10.6,-8.0,1
20210108.0,-11.4,-8.1,1
20210109.0,-14.7,-5.1,1
20210110.0,-5.2,-2.3,1
20210111.0,-3.7,-0.6,1
20210112.0,-3.5,-1.3,1
20210113.0,-4.0,-2.1,1
20210114.0,-3.4,-1.1,1
20210115.0,-9.3,-2.3,1
20210116.0,-6.5,-0.2,1
20210117.0,-1.7,1.3,1
20210118.0,-9.2,0.1,1
20210119.0,-20.3,-5.4,1
20210120.0,-5.4,2.1,1
20210121.0,2.1,3.4,1
20210122.0,-0.4,3.9,1
20210123.0,-2.4,0.5,1
20210124.0,-9.4,-1.6,1
20210125.0,-8.0,-2.7,1
20210126.0,-15.7,-6.4,1
20210127.0,-11.5,-7.6,1
20210128.0,-15.1,-5.6,1
20210129.0,-12.2,-4.0,1
20210130.0,-20.2,-9.8,1
20210131.0,-20.8,-12.9,1
20210201.0,-16.4,-12.8,2
20210202.0,-16.2,-9.2,2
20210203.0,-10.6,-7.2,2
20210204.0,-13.1,-7.6,2
20210205.0,-11.1,-2.2,2
20210206.0,-15.2,-2.4,2
20210207.0,-12.2,-7.0,2
20210208.0,-15.1,-9.1,2
20210209.0,-16.1,-14.7,2
20210210.0,-14.6,1.4,2
20210211.0,0.3,3.9,2
20210212.0,-1.2,3.9,2
20210213.0,-4.5,1.2,2
20210214.0,-0.7,1.7,2
20210215.0,-0.9,0.6,2
20210216.0,-0.9,1.7,2
20210217.0,-0.5,1.3,2
20210218.0,-16.1,-0.2,2
20210219.0,-22.7,-13.8,2
20210220.0,-20.7,-12.2,2
20210221.0,-23.1,-14.8,2
20210222.0,-31.4,-14.5,2
20210223.0,-17.4,-8.5,2
20210224.0,-8.7,2.1,2
20210225.0,-4.7,2.2,2
20210226.0,-0.1,2.9,2
20210227.0,-10.9,1.6,2
20210228.0,-19.2,-10.7,2
20210301.0,-17.7,-6.6,3
20210302.0,-9.0,-3.0,3
20210303.0,-16.9,-5.2,3
20210304.0,-27.3,-13.0,3
20210305.0,-17.3,-2.4,3
20210306.0,-18.2,-3.2,3
20210307.0,-5.7,0.1,3
20210308.0,-4.4,1.9,3
20210309.0,-11.5,0.7,3
20210310.0,-16.0,-3.2,3
20210311.0,-21.8,-10.1,3
20210312.0,-31.4,-10.2,3
20210313.0,-26.5,-11.1,3
20210314.0,-19.6,-3.4,3
20210315.0,-14.2,-5.1,3
20210316.0,-20.1,-1.1,3
20210317.0,-15.1,0.2,3
20210318.0,-25.7,-9.4,3
20210319.0,-27.7,-8.3,3
20210320.0,-9.5,-3.6,3
20210321.0,-9.3,1.8,3
20210322.0,-10.0,-1.3,3
20210323.0,-17.8,-4.8,3
20210324.0,-7.0,1.9,3
20210325.0,-4.2,3.8,3
20210326.0,-8.4,0.2,3
20210327.0,-10.5,-0.9,3
20210328.0,-8.7,2.7,3
20210329.0,0.3,3.2,3
20210330.0,-5.5,0.9,3
20210331.0,-12.2,-4.3,3
20210401.0,-18.0,-6.1,4
20210402.0,-15.7,1.6,4
20210403.0,1.5,3.7,4
20210404.0,-7.8,1.9,4
20210405.0,-11.4,-4.2,4
20210406.0,-7.6,-0.5,4
20210407.0,-9.2,-1.0,4
20210408.0,-15.7,-2.2,4
20210409.0,-21.8,-9.2,4
20210410.0,-13.3,-4.7,4
20210411.0,-4.7,2.2,4
20210412.0,0.1,4.3,4
20210413.0,0.3,4.4,4
20210414.0,-0.7,5.0,4
20210415.0,-0.8,6.2,4
20210416.0,0.4,8.9,4
20210417.0,1.1,8.5,4
20210418.0,3.0,8.6,4
20210419.0,4.8,11.2,4
20210420.0,3.4,8.7,4
20210421.0,1.8,7.4,4
20210422.0,2.0,5.8,4
20210423.0,0.7,7.3,4
20210424.0,1.6,7.5,4
20210425.0,2.4,4.9,4
20210426.0,3.4,10.7,4
20210427.0,1.8,12.8,4
20210428.0,0.7,11.9,4
20210429.0,-0.7,6.7,4
20210430.0,-2.3,5.0,4
20210501.0,-2.7,5.5,5
20210502.0,2.0,8.1,5
20210503.0,2.0,9.2,5
20210504.0,-0.8,11.6,5
20210505.0,-1.4,8.8,5
20210506.0,-1.2,11.7,5
20210507.0,-0.9,10.2,5
20210508.0,2.6,7.4,5
20210509.0,3.6,6.6,5
20210510.0,4.0,8.4,5
20210511.0,1.4,9.9,5
20210512.0,0.1,12.7,5
20210513.0,-2.0,14.4,5
20210514.0,2.9,7.9,5
20210515.0,1.2,11.1,5
20210516.0,-1.7,14.6,5
20210517.0,-0.2,14.3,5
20210518.0,1.1,11.5,5
20210519.0,0.5,11.8,5
20210520.0,3.5,8.1,5
20210521.0,4.8,13.6,5
20210523.0,1.1,20.2,5
20210524.0,2.0,18.6,5
20210525.0,0.9,19.7,5
20210526.0,2.3,18.1,5
20210527.0,5.0,17.0,5
20210528.0,2.9,21.9,5
20210529.0,4.7,10.3,5
20210530.0,4.4,12.4,5
20210531.0,5.7,20.3,5
20210601.0,7.1,13.8,6
20210602.0,6.8,13.3,6
20210603.0,1.3,15.9,6
20210604.0,2.0,11.9,6
20210605.0,4.7,16.5,6
20210606.0,3.4,14.7,6
20210607.0,5.1,14.5,6
20210608.0,4.9,10.2,6
20210609.0,6.8,14.7,6
20210610.0,7.7,15.0,6
20210611.0,6.7,15.4,6
20210612.0,6.3,12.7,6
20210613.0,2.9,15.6,6
20210614.0,6.3,16.7,6
20210615.0,5.9,17.3,6
20210616.0,3.0,20.6,6
20210617.0,9.2,15.2,6
20210618.0,6.7,17.1,6
20210619.0,9.5,19.1,6
20210620.0,7.7,16.8,6
20210621.0,10.5,17.1,6
20210622.0,10.6,15.7,6
20210623.0,9.5,14.7,6
20210624.0,8.7,14.2,6
20210625.0,8.4,10.6,6
20210626.0,8.2,11.0,6
20210627.0,9.0,12.2,6
20210628.0,8.2,13.7,6
20210629.0,4.4,17.9,6
20210630.0,7.4,16.4,6
20210701.0,9.4,13.2,7
20210702.0,7.7,13.8,7
20210703.0,8.6,12.9,7
20210704.0,9.6,12.6,7
20210705.0,9.2,11.6,7
20210706.0,8.2,11.6,7
20210707.0,6.8,14.8,7
20210708.0,7.3,11.4,7
20210709.0,7.8,11.0,7
20210710.0,7.2,16.2,7
20210711.0,3.7,18.7,7
20210712.0,6.7,22.8,7
20210713.0,11.2,21.7,7
20210714.0,8.8,23.9,7
20210715.0,11.3,24.0,7
20210716.0,12.6,24.5,7
20210717.0,11.8,26.2,7
20210718.0,14.7,26.8,7
20210719.0,13.2,22.4,7
20210720.0,10.9,13.3,7
20210721.0,10.5,18.5,7
20210722.0,12.2,17.8,7
20210723.0,12.6,21.5,7
20210724.0,12.4,19.1,7
20210725.0,9.9,13.9,7
20210726.0,11.0,17.5,7
20210727.0,6.9,16.1,7
20210728.0,11.1,15.0,7
20210729.0,11.0,13.6,7
20210730.0,11.6,14.6,7
20210731.0,12.8,16.6,7
20210801.0,13.2,22.0,8
20210802.0,10.5,23.6,8
20210803.0,8.1,24.8,8
20210804.0,9.1,19.8,8
20210805.0,12.1,15.5,8
20210806.0,9.8,18.8,8
20210807.0,8.4,12.5,8
20210808.0,8.0,15.0,8
20210809.0,7.0,12.7,8
20210810.0,7.6,17.0,8
20210811.0,9.2,12.6,8
20210812.0,6.9,16.3,8
20210813.0,6.9,15.1,8
20210814.0,6.1,14.3,8
20210815.0,9.4,16.2,8
20210816.0,7.4,13.4,8
20210817.0,6.1,16.0,8
20210818.0,7.8,18.2,8
20210819.0,4.6,13.2,8
20210820.0,4.1,16.1,8
20210821.0,6.9,13.8,8
20210822.0,9.4,13.8,8
20210823.0,10.3,14.2,8
20210824.0,9.9,14.9,8
20210825.0,8.6,18.1,8
20210826.0,4.0,15.0,8
20210827.0,3.3,14.2,8
20210828.0,0.4,14.3,8
20210829.0,6.3,17.6,8
20210830.0,4.9,12.9,8
20210831.0,9.5,14.5,8
20210901.0,10.2,12.6,9
20210902.0,10.6,14.3,9
20210903.0,10.8,14.9,9
20210904.0,9.0,17.4,9
20210905.0,5.2,15.0,9
20210906.0,0.7,14.1,9
20210907.0,8.7,12.3,9
20210908.0,7.7,13.2,9
20210909.0,9.1,11.7,9
20210910.0,5.5,13.3,9
20210911.0,5.1,12.6,9
20210912.0,6.6,10.9,9
20210913.0,6.0,11.4,9
20210914.0,6.0,9.9,9
20210915.0,3.2,10.7,9
20210916.0,6.1,16.0,9
20210917.0,0.5,13.5,9
20210918.0,-1.0,11.4,9
20210919.0,-0.4,14.0,9
20210920.0,-1.2,8.9,9
20210921.0,-4.0,8.5,9
20210922.0,0.1,5.0,9
20210923.0,-0.9,7.8,9
20210924.0,-2.3,8.6,9
20210925.0,-4.4,8.6,9
20210926.0,-4.4,11.7,9
20210927.0,-3.1,8.7,9
20210928.0,-2.1,10.0,9
20210929.0,-4.6,7.5,9
20210930.0,1.6,4.9,9
20211001.0,-0.9,4.0,10
20211002.0,-2.2,5.0,10
20211003.0,-5.6,6.4,10
20211004.0,-5.7,4.3,10
20211005.0,1.5,9.0,10
20211006.0,7.3,10.7,10
20211007.0,4.7,8.6,10
20211008.0,5.3,7.6,10
20211009.0,4.8,8.8,10
20211010.0,-1.9,7.1,10
20211011.0,-0.1,6.2,10
20211012.0,-1.1,4.6,10
20211013.0,-0.3,7.0,10
20211014.0,-2.2,5.4,10
20211015.0,-4.3,5.6,10
20211016.0,-6.0,1.4,10
20211017.0,1.0,4.7,10
20211018.0,-0.9,6.9,10
20211019.0,-0.3,3.8,10
20211020.0,-4.2,4.6,10
20211021.0,-3.1,3.8,10
20211022.0,1.9,5.5,10
20211023.0,-2.1,8.3,10
20211024.0,-2.1,2.7,10
20211025.0,-3.3,0.6,10
20211026.0,-8.0,0.4,10
20211027.0,-6.1,-3.7,10
20211028.0,-6.0,-3.5,10
20211029.0,-6.7,-3.9,10
20211030.0,-3.8,0.9,10
20211031.0,-10.3,0.7,10
20211101.0,-13.8,-1.5,11
20211102.0,-14.5,-6.6,11
20211103.0,-10.1,2.0,11
20211104.0,-3.5,1.0,11
20211105.0,-4.7,-0.4,11
20211106.0,-8.0,-2.6,11
20211107.0,-11.6,-3.5,11
20211108.0,-14.4,-4.2,11
